Year,Round,Condition,CompoundsPresent,DryLaps,TotalLaps,EventName
2024,4,dry,"HARD,MEDIUM,SOFT",754,754,Japanese Grand Prix
2024,5,dry,"HARD,MEDIUM,SOFT",769,769,Chinese Grand Prix
2024,6,dry,"HARD,MEDIUM,SOFT",942,942,Miami Grand Prix
2024,7,dry,"HARD,MEDIUM,SOFT",1141,1141,Emilia Romagna Grand Prix
2024,8,dry,"HARD,MEDIUM,SOFT",566,566,Monaco Grand Prix
2024,9,mixed,"HARD,MEDIUM",208,208,Canadian Grand Prix
2024,10,mixed,"HARD,MEDIUM,SOFT",1124,1124,Spanish Grand Prix
2024,11,mixed,"HARD,MEDIUM,SOFT",1202,1202,Austrian Grand Prix
2024,12,mixed,"HARD,MEDIUM,SOFT",556,556,British Grand Prix
2024,13,dry,"HARD,MEDIUM,SOFT",1122,1122,Hungarian Grand Prix
2024,14,dry,"HARD,MEDIUM,SOFT",748,748,Belgian Grand Prix
2024,15,dry,"HARD,MEDIUM,SOFT",1339,1339,Dutch Grand Prix
2024,16,dry,"HARD,MEDIUM,SOFT",899,899,Italian Grand Prix
2024,17,dry,"HARD,MEDIUM",868,868,Azerbaijan Grand Prix
2024,18,dry,"HARD,MEDIUM,SOFT",1083,1083,Singapore Grand Prix
2024,19,dry,"HARD,MEDIUM,SOFT",956,956,United States Grand Prix
2024,20,dry,"HARD,MEDIUM,SOFT",992,992,Mexico City Grand Prix
2024,21,wet,INTERMEDIATE,0,760,São Paulo Grand Prix
2024,22,dry,"HARD,MEDIUM,SOFT",812,812,Las Vegas Grand Prix
2024,23,dry,"HARD,MEDIUM,SOFT",657,657,Qatar Grand Prix
2024,24,dry,"HARD,MEDIUM,SOFT",915,915,Abu Dhabi Grand Prix
2025,1,mixed,"HARD,INTERMEDIATE,MEDIUM",32,38,Australian Grand Prix
2025,2,dry,"HARD,MEDIUM",998,998,Chinese Grand Prix
2025,3,dry,"HARD,MEDIUM,SOFT",1017,1017,Japanese Grand Prix
2025,4,dry,"HARD,MEDIUM,SOFT",980,980,Bahrain Grand Prix
2025,5,dry,"HARD,MEDIUM",815,815,Saudi Arabian Grand Prix
2025,6,mixed,"HARD,MEDIUM,NAN",483,865,Miami Grand Prix
2025,7,dry,"HARD,MEDIUM",947,947,Emilia Romagna Grand Prix
2025,8,dry,"HARD,MEDIUM,SOFT",824,824,Monaco Grand Prix
2025,9,dry,"HARD,MEDIUM,SOFT",496,496,Spanish Grand Prix
2025,10,mixed,"HARD,MEDIUM",1197,1197,Canadian Grand Prix
2025,11,dry,"HARD,MEDIUM,SOFT",989,989,Austrian Grand Prix
